batting_team,bowling_team,city,target_score,current_score,balls_left,wickets_left,crr,rrr,toss_winner,toss_decision,powerplay,recent_performance,result
Gujarat Titans,Chennai Super Kings,Jaipur,186,149,30,3,9.93,7.4,Gujarat Titans,field,0,37,1
Royal Challengers Bangalore,Chennai Super Kings,Hyderabad,169,39,87,7,7.09,8.97,Chennai Super Kings,bat,1,39,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,197,47,84,6,7.83,10.71,Rajasthan Royals,field,0,47,1
Gujarat Titans,Delhi Capitals,Lucknow,148,87,30,10,5.8,12.2,Gujarat Titans,bat,0,25,1
Royal Challengers Bangalore,Lucknow Super Giants,Delhi,173,77,69,5,9.06,8.35,Royal Challengers Bangalore,bat,0,64,1
Rajasthan Royals,Delhi Capitals,Kolkata,140,135,8,4,7.23,3.75,Delhi Capitals,bat,0,29,1
Mumbai Indians,Delhi Capitals,Mumbai,161,103,27,8,6.65,12.89,Delhi Capitals,bat,0,40,1
Kolkata Knight Riders,Punjab Kings,Jaipur,190,132,24,2,8.25,14.5,Punjab Kings,bat,0,52,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,208,52,82,7,8.21,11.41,Chennai Super Kings,field,0,40,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,229,172,24,6,10.75,14.25,Mumbai Indians,field,0,57,1
Gujarat Titans,Rajasthan Royals,Mumbai,162,46,86,9,8.12,8.09,Gujarat Titans,field,1,46,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Mumbai,191,115,58,9,11.13,7.86,Royal Challengers Bangalore,field,0,56,1
Rajasthan Royals,Lucknow Super Giants,Delhi,140,90,44,7,7.11,6.82,Rajasthan Royals,field,0,40,1
Lucknow Super Giants,Kolkata Knight Riders,Hyderabad,141,38,88,7,7.12,7.02,Lucknow Super Giants,field,1,38,1
Chennai Super Kings,Gujarat Titans,Ahmedabad,163,123,32,8,8.39,7.5,Chennai Super Kings,field,0,57,1
Delhi Capitals,Mumbai Indians,Jaipur,200,130,43,6,10.13,9.77,Mumbai Indians,bat,0,25,1
Sunrisers Hyderabad,Gujarat Titans,Hyderabad,172,89,34,9,6.21,14.65,Gujarat Titans,field,0,59,1
Delhi Capitals,Sunrisers Hyderabad,Ahmedabad,226,76,84,6,12.67,10.71,Delhi Capitals,bat,0,50,1
Delhi Capitals,Lucknow Super Giants,Bangalore,173,79,68,7,9.12,8.29,Lucknow Super Giants,field,0,35,1
Gujarat Titans,Chennai Super Kings,Hyderabad,168,51,87,10,9.27,8.07,Chennai Super Kings,bat,1,51,1
Delhi Capitals,Rajasthan Royals,Chandigarh,149,91,54,3,8.27,6.44,Rajasthan Royals,field,0,59,1
Kolkata Knight Riders,Gujarat Titans,Chandigarh,175,90,58,4,8.71,8.79,Kolkata Knight Riders,bat,0,47,1
Sunrisers Hyderabad,Gujarat Titans,Lucknow,201,136,42,10,10.46,9.29,Gujarat Titans,bat,0,47,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,228,111,69,5,13.06,10.17,Kolkata Knight Riders,bat,0,44,1
Chennai Super Kings,Lucknow Super Giants,Kolkata,228,82,63,8,8.63,13.9,Lucknow Super Giants,bat,0,60,1
Punjab Kings,Delhi Capitals,Lucknow,151,106,7,8,5.63,38.57,Punjab Kings,field,0,31,0
Punjab Kings,Delhi Capitals,Kolkata,167,154,8,7,8.25,9.75,Punjab Kings,bat,0,40,1
Mumbai Indians,Delhi Capitals,Kolkata,208,94,65,10,10.25,10.52,Mumbai Indians,field,0,45,1
Chennai Super Kings,Gujarat Titans,Kolkata,192,119,21,2,7.21,20.86,Chennai Super Kings,field,0,63,0
Royal Challengers Bangalore,Punjab Kings,Ahmedabad,153,106,42,6,8.15,6.71,Punjab Kings,field,0,53,1
Lucknow Super Giants,Gujarat Titans,Delhi,214,74,80,7,11.1,10.5,Gujarat Titans,bat,0,41,1
Punjab Kings,Lucknow Super Giants,Hyderabad,146,60,53,3,5.37,9.74,Punjab Kings,field,0,51,1
Gujarat Titans,Punjab Kings,Kolkata,205,51,83,6,8.27,11.13,Punjab Kings,field,0,32,1
Mumbai Indians,Sunrisers Hyderabad,Kolkata,204,203,14,10,11.49,0.43,Sunrisers Hyderabad,field,0,49,1
Rajasthan Royals,Gujarat Titans,Chennai,184,154,25,5,9.73,7.2,Rajasthan Royals,bat,0,43,1
Kolkata Knight Riders,Delhi Capitals,Bangalore,200,95,57,4,9.05,11.05,Kolkata Knight Riders,bat,0,50,0
Delhi Capitals,Lucknow Super Giants,Jaipur,178,70,53,6,6.27,12.23,Lucknow Super Giants,field,0,52,1
Chennai Super Kings,Kolkata Knight Riders,Delhi,197,117,26,3,7.47,18.46,Kolkata Knight Riders,bat,0,63,0
Lucknow Super Giants,Delhi Capitals,Chandigarh,140,92,31,2,6.2,9.29,Lucknow Super Giants,field,0,49,1
Sunrisers Hyderabad,Delhi Capitals,Delhi,172,77,71,5,9.43,8.03,Sunrisers Hyderabad,field,0,56,1
Kolkata Knight Riders,Sunrisers Hyderabad,Delhi,184,37,87,10,6.73,10.14,Sunrisers Hyderabad,bat,1,37,1
Delhi Capitals,Rajasthan Royals,Delhi,214,191,11,7,10.51,12.55,Delhi Capitals,field,0,44,1
Royal Challengers Bangalore,Gujarat Titans,Mumbai,196,99,45,2,7.92,12.93,Gujarat Titans,bat,0,39,0
Mumbai Indians,Delhi Capitals,Bangalore,140,88,36,5,6.29,8.67,Delhi Capitals,bat,0,47,1
Chennai Super Kings,Sunrisers Hyderabad,Delhi,196,195,11,1,10.73,0.55,Sunrisers Hyderabad,bat,0,32,1
Punjab Kings,Rajasthan Royals,Jaipur,215,58,81,6,8.92,11.63,Rajasthan Royals,field,0,52,1
Delhi Capitals,Sunrisers Hyderabad,Chennai,175,83,50,9,7.11,11.04,Sunrisers Hyderabad,bat,0,52,1
Gujarat Titans,Chennai Super Kings,Jaipur,180,83,68,8,9.58,8.56,Gujarat Titans,bat,0,41,1
Chennai Super Kings,Lucknow Super Giants,Kolkata,212,100,63,7,10.53,10.67,Chennai Super Kings,bat,0,53,1
Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,152,151,11,5,8.31,0.55,Lucknow Super Giants,field,0,29,1
Mumbai Indians,Kolkata Knight Riders,Chandigarh,186,185,11,1,10.18,0.55,Kolkata Knight Riders,field,0,29,1
Royal Challengers Bangalore,Mumbai Indians,Bangalore,172,167,23,9,10.33,1.3,Mumbai Indians,bat,0,35,1
Lucknow Super Giants,Chennai Super Kings,Hyderabad,224,211,25,2,13.33,3.12,Chennai Super Kings,field,0,51,1
Kolkata Knight Riders,Mumbai Indians,Lucknow,188,116,17,9,6.76,25.41,Kolkata Knight Riders,bat,0,25,0
Sunrisers Hyderabad,Mumbai Indians,Lucknow,194,164,15,10,9.37,12.0,Sunrisers Hyderabad,field,0,29,1
Gujarat Titans,Delhi Capitals,Jaipur,142,98,42,6,7.54,6.29,Gujarat Titans,field,0,34,1
Chennai Super Kings,Delhi Capitals,Chandigarh,213,103,57,6,9.81,11.58,Chennai Super Kings,field,0,25,1
Rajasthan Royals,Punjab Kings,Bangalore,190,69,66,7,7.67,11.0,Punjab Kings,bat,0,64,1
Gujarat Titans,Sunrisers Hyderabad,Lucknow,171,36,86,8,6.35,9.42,Sunrisers Hyderabad,field,1,36,1
Delhi Capitals,Sunrisers Hyderabad,Jaipur,173,98,49,8,8.28,9.18,Delhi Capitals,bat,0,36,1
Sunrisers Hyderabad,Punjab Kings,Kolkata,204,98,42,6,7.54,15.14,Punjab Kings,field,0,41,1
Rajasthan Royals,Chennai Super Kings,Chandigarh,186,104,54,6,9.45,9.11,Chennai Super Kings,bat,0,26,1
Punjab Kings,Kolkata Knight Riders,Jaipur,214,87,72,5,10.88,10.58,Kolkata Knight Riders,field,0,58,1
Sunrisers Hyderabad,Lucknow Super Giants,Ahmedabad,177,109,38,9,7.98,10.74,Sunrisers Hyderabad,bat,0,51,1
Mumbai Indians,Kolkata Knight Riders,Delhi,190,167,12,7,9.28,11.5,Kolkata Knight Riders,bat,0,57,1
Punjab Kings,Lucknow Super Giants,Chandigarh,227,198,11,4,10.9,15.82,Punjab Kings,bat,0,41,0
Sunrisers Hyderabad,Kolkata Knight Riders,Delhi,168,56,78,10,8.0,8.62,Sunrisers Hyderabad,field,0,44,1
Lucknow Super Giants,Rajasthan Royals,Chandigarh,227,61,86,9,10.76,11.58,Rajasthan Royals,field,1,37,1
Gujarat Titans,Rajasthan Royals,Jaipur,182,74,69,8,8.71,9.39,Rajasthan Royals,field,0,47,1
Sunrisers Hyderabad,Lucknow Super Giants,Kolkata,194,137,39,5,10.15,8.77,Sunrisers Hyderabad,bat,0,28,1
Rajasthan Royals,Mumbai Indians,Ahmedabad,143,81,60,8,8.1,6.2,Rajasthan Royals,bat,0,51,1
Kolkata Knight Riders,Punjab Kings,Hyderabad,171,52,75,9,6.93,9.52,Punjab Kings,bat,0,45,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,144,56,60,9,5.6,8.8,Sunrisers Hyderabad,bat,0,45,1
Sunrisers Hyderabad,Chennai Super Kings,Ahmedabad,209,61,80,10,9.15,11.1,Sunrisers Hyderabad,field,0,58,1
Chennai Super Kings,Lucknow Super Giants,Ahmedabad,188,86,47,2,7.07,13.02,Lucknow Super Giants,bat,0,46,0
Punjab Kings,Mumbai Indians,Mumbai,195,144,14,10,8.15,21.86,Mumbai Indians,field,0,25,1
Punjab Kings,Lucknow Super Giants,Jaipur,147,93,26,7,5.94,12.46,Punjab Kings,bat,0,46,1
Sunrisers Hyderabad,Punjab Kings,Chennai,153,103,36,4,7.36,8.33,Sunrisers Hyderabad,field,0,26,1
Punjab Kings,Mumbai Indians,Lucknow,165,34,87,7,6.18,9.03,Punjab Kings,bat,1,27,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai,162,92,46,9,7.46,9.13,Royal Challengers Bangalore,bat,0,59,1
Gujarat Titans,Delhi Capitals,Lucknow,154,39,81,6,6.0,8.52,Gujarat Titans,field,0,39,1
Punjab Kings,Lucknow Super Giants,Hyderabad,196,145,17,5,8.45,18.0,Lucknow Super Giants,field,0,49,0
Lucknow Super Giants,Chennai Super Kings,Lucknow,152,90,39,7,6.67,9.54,Lucknow Super Giants,bat,0,42,1
Kolkata Knight Riders,Sunrisers Hyderabad,Chennai,225,150,39,3,11.11,11.54,Kolkata Knight Riders,bat,0,43,1
Royal Challengers Bangalore,Gujarat Titans,Chennai,180,91,61,7,9.25,8.75,Royal Challengers Bangalore,bat,0,58,1
Delhi Capitals,Punjab Kings,Lucknow,198,87,59,6,8.56,11.29,Punjab Kings,field,0,57,1
Chennai Super Kings,Kolkata Knight Riders,Hyderabad,192,70,81,7,10.77,9.04,Kolkata Knight Riders,field,0,54,1
Mumbai Indians,Kolkata Knight Riders,Hyderabad,163,106,12,4,5.89,28.5,Mumbai Indians,field,0,55,0
Mumbai Indians,Gujarat Titans,Kolkata,179,102,30,3,6.8,15.4,Mumbai Indians,field,0,26,0
Royal Challengers Bangalore,Mumbai Indians,Mumbai,223,149,6,7,7.84,74.0,Royal Challengers Bangalore,field,0,54,0
Lucknow Super Giants,Sunrisers Hyderabad,Chandigarh,190,157,19,9,9.33,10.42,Lucknow Super Giants,field,0,32,1
Sunrisers Hyderabad,Delhi Capitals,Hyderabad,165,60,66,7,6.67,9.55,Delhi Capitals,field,0,50,1
Mumbai Indians,Chennai Super Kings,Delhi,207,123,53,10,11.01,9.51,Chennai Super Kings,field,0,36,1
Chennai Super Kings,Mumbai Indians,Kolkata,186,140,29,5,9.23,9.52,Chennai Super Kings,field,0,35,1
Lucknow Super Giants,Chennai Super Kings,Bangalore,216,121,44,10,9.55,12.95,Chennai Super Kings,field,0,34,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Lucknow,144,34,85,7,5.83,7.76,Royal Challengers Bangalore,field,1,34,1
Mumbai Indians,Punjab Kings,Jaipur,141,31,83,6,5.03,7.95,Punjab Kings,field,0,31,1
Rajasthan Royals,Mumbai Indians,Bangalore,214,115,49,5,9.72,12.12,Mumbai Indians,field,0,54,1
Punjab Kings,Sunrisers Hyderabad,Delhi,188,123,17,9,7.17,22.94,Punjab Kings,field,0,35,0
Mumbai Indians,Rajasthan Royals,Hyderabad,173,76,75,8,10.13,7.76,Rajasthan Royals,bat,0,46,1
Delhi Capitals,Gujarat Titans,Mumbai,199,190,17,3,11.07,3.18,Gujarat Titans,field,0,61,1
Chennai Super Kings,Kolkata Knight Riders,Ahmedabad,153,99,21,8,6.0,15.43,Kolkata Knight Riders,field,0,29,1
Punjab Kings,Chennai Super Kings,Kolkata,222,187,33,1,12.9,6.36,Chennai Super Kings,bat,0,49,1
Sunrisers Hyderabad,Punjab Kings,Chandigarh,181,89,56,3,8.34,9.86,Sunrisers Hyderabad,bat,0,64,1
Lucknow Super Giants,Kolkata Knight Riders,Bangalore,171,97,50,5,8.31,8.88,Kolkata Knight Riders,bat,0,39,1
Gujarat Titans,Delhi Capitals,Chennai,164,74,59,4,7.28,9.15,Gujarat Titans,bat,0,38,1
Punjab Kings,Mumbai Indians,Bangalore,192,168,12,8,9.33,12.0,Mumbai Indians,field,0,30,1
Gujarat Titans,Sunrisers Hyderabad,Delhi,145,61,62,8,6.31,8.13,Sunrisers Hyderabad,field,0,39,1
Kolkata Knight Riders,Punjab Kings,Ahmedabad,168,101,47,4,8.3,8.55,Kolkata Knight Riders,field,0,53,1
Kolkata Knight Riders,Gujarat Titans,Bangalore,177,153,25,6,9.66,5.76,Kolkata Knight Riders,field,0,57,1
Delhi Capitals,Rajasthan Royals,Ahmedabad,207,156,41,6,11.85,7.46,Rajasthan Royals,bat,0,57,1
Sunrisers Hyderabad,Lucknow Super Giants,Lucknow,177,105,44,7,8.29,9.82,Lucknow Super Giants,bat,0,39,1
Punjab Kings,Gujarat Titans,Chandigarh,168,114,44,7,9.0,7.36,Gujarat Titans,field,0,26,1
Gujarat Titans,Lucknow Super Giants,Delhi,166,116,35,8,8.19,8.57,Lucknow Super Giants,field,0,50,1
Kolkata Knight Riders,Lucknow Super Giants,Lucknow,182,98,38,7,7.17,13.26,Lucknow Super Giants,bat,0,34,1
Delhi Capitals,Chennai Super Kings,Jaipur,177,86,71,9,10.53,7.69,Chennai Super Kings,field,0,36,1
Delhi Capitals,Royal Challengers Bangalore,Chandigarh,229,155,39,9,11.48,11.38,Delhi Capitals,bat,0,64,1
Gujarat Titans,Rajasthan Royals,Chennai,199,156,39,7,11.56,6.62,Rajasthan Royals,bat,0,29,1
Gujarat Titans,Punjab Kings,Mumbai,176,146,29,1,9.63,6.21,Gujarat Titans,field,0,55,1
Royal Challengers Bangalore,Mumbai Indians,Chandigarh,148,61,54,6,5.55,9.67,Mumbai Indians,field,0,46,1
Lucknow Super Giants,Delhi Capitals,Chennai,150,70,51,5,6.09,9.41,Delhi Capitals,field,0,50,1
Rajasthan Royals,Punjab Kings,Ahmedabad,175,51,80,10,7.65,9.3,Rajasthan Royals,bat,0,51,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,154,89,56,10,8.34,6.96,Kolkata Knight Riders,field,0,34,1
Mumbai Indians,Lucknow Super Giants,Chandigarh,191,135,22,1,8.27,15.27,Mumbai Indians,field,0,49,0
Chennai Super Kings,Lucknow Super Giants,Jaipur,229,195,11,9,10.73,18.55,Chennai Super Kings,field,0,51,1
Rajasthan Royals,Lucknow Super Giants,Delhi,173,130,11,8,7.16,23.45,Rajasthan Royals,bat,0,49,0
Gujarat Titans,Delhi Capitals,Lucknow,191,90,54,3,8.18,11.22,Gujarat Titans,bat,0,53,0
Royal Challengers Bangalore,Mumbai Indians,Lucknow,161,68,71,9,8.33,7.86,Mumbai Indians,bat,0,31,1
Punjab Kings,Royal Challengers Bangalore,Kolkata,220,203,7,10,10.78,14.57,Royal Challengers Bangalore,field,0,46,1
Punjab Kings,Sunrisers Hyderabad,Mumbai,202,167,3,10,8.56,70.0,Sunrisers Hyderabad,field,0,56,0
Gujarat Titans,Royal Challengers Bangalore,Chennai,152,66,56,8,6.19,9.21,Royal Challengers Bangalore,field,0,43,1
Lucknow Super Giants,Sunrisers Hyderabad,Delhi,201,81,72,6,10.12,10.0,Sunrisers Hyderabad,field,0,53,1
Sunrisers Hyderabad,Kolkata Knight Riders,Delhi,169,105,18,8,6.18,21.33,Kolkata Knight Riders,bat,0,38,0
Kolkata Knight Riders,Delhi Capitals,Lucknow,186,108,44,5,8.53,10.64,Delhi Capitals,field,0,54,1
Sunrisers Hyderabad,Chennai Super Kings,Delhi,177,112,24,7,7.0,16.25,Chennai Super Kings,bat,0,53,0
Lucknow Super Giants,Chennai Super Kings,Lucknow,142,84,58,9,8.13,6.0,Chennai Super Kings,field,0,58,1
Kolkata Knight Riders,Rajasthan Royals,Kolkata,226,225,5,9,11.74,1.2,Kolkata Knight Riders,field,0,32,1
Royal Challengers Bangalore,Mumbai Indians,Mumbai,204,108,42,8,8.31,13.71,Mumbai Indians,field,0,32,1
Chennai Super Kings,Rajasthan Royals,Bangalore,193,75,61,6,7.63,11.61,Chennai Super Kings,field,0,57,1
Rajasthan Royals,Delhi Capitals,Bangalore,147,55,82,8,8.68,6.73,Rajasthan Royals,bat,0,55,1
Gujarat Titans,Rajasthan Royals,Ahmedabad,193,54,72,9,6.75,11.58,Rajasthan Royals,bat,0,31,1
Sunrisers Hyderabad,Punjab Kings,Hyderabad,172,52,72,8,6.5,10.0,Punjab Kings,bat,0,43,1
Punjab Kings,Mumbai Indians,Bangalore,175,143,35,9,10.09,5.49,Punjab Kings,field,0,29,1
Gujarat Titans,Rajasthan Royals,Chennai,159,70,61,4,7.12,8.75,Rajasthan Royals,bat,0,47,1
Sunrisers Hyderabad,Gujarat Titans,Chennai,151,116,18,6,6.82,11.67,Gujarat Titans,field,0,54,1
Sunrisers Hyderabad,Delhi Capitals,Jaipur,148,67,53,7,6.0,9.17,Sunrisers Hyderabad,bat,0,46,1
Punjab Kings,Chennai Super Kings,Lucknow,163,62,80,8,9.3,7.58,Chennai Super Kings,bat,0,56,1
Mumbai Indians,Punjab Kings,Hyderabad,220,110,48,10,9.17,13.75,Punjab Kings,bat,0,64,1
Royal Challengers Bangalore,Chennai Super Kings,Mumbai,205,117,35,4,8.26,15.09,Chennai Super Kings,field,0,46,0
Mumbai Indians,Lucknow Super Giants,Kolkata,143,38,79,6,5.56,7.97,Mumbai Indians,field,0,38,1
Punjab Kings,Rajasthan Royals,Ahmedabad,176,44,89,9,8.52,8.9,Rajasthan Royals,bat,1,44,1
Delhi Capitals,Mumbai Indians,Chandigarh,180,73,66,10,8.11,9.73,Mumbai Indians,field,0,62,1
Chennai Super Kings,Rajasthan Royals,Kolkata,215,66,72,9,8.25,12.42,Rajasthan Royals,field,0,51,1
Kolkata Knight Riders,Rajasthan Royals,Chennai,196,87,67,8,9.85,9.76,Rajasthan Royals,field,0,36,1
Chennai Super Kings,Delhi Capitals,Hyderabad,192,80,75,6,10.67,8.96,Chennai Super Kings,bat,0,45,1
Punjab Kings,Mumbai Indians,Kolkata,201,98,45,9,7.84,13.73,Punjab Kings,bat,0,25,1
Rajasthan Royals,Kolkata Knight Riders,Bangalore,190,49,83,8,7.95,10.19,Rajasthan Royals,bat,0,45,1
